ec012ec.11,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.12,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.13,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.14,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.15,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.16,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.17,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.18,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.19,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.20,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.21,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.22,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.23,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.24,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.25,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.26,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec012ec.27,ec012,EC5,EC5,EC3,EC3,"","","","","","","","","","","",""
ec012ec.28,ec012,EC3,EC3,EC5,EC5,"","","","","","","","","","","",""
ec013.15,ec013,EC3,EC4,EC5,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.18,ec013,EC3,EC4,EC5,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.21,ec013,EC3,EC4,EC5,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.27,ec013,EC3,EC4,EC5,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.28,ec013,EC3,EC4,EC5,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.29,ec013,EC3,EC4,EC5,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.30,ec013,EC3,EC4,EC5,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.31,ec013,EC3,EC4,EC5,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
