ec012ec.11,ec012ec.187,348509339,m1v,106726972
ec012ec.11,ec012ec.188,56201878,m1v,16093611
ec012ec.11,ec012ec.189,284447276,m1v,90686244
ec012ec.12,ec012ec.209,70728766,m1v,19923915
ec012ec.12,ec012ec.210,244535902,m1v,69492454
ec012ec.12,ec012ec.211,185026088,m1v,50684635
ec012ec.12,ec012ec.212,250818659,m1v,67740747
ec012ec.12,ec012ec.213,161370064,m1v,41741736
ec012ec.13,ec012ec.227,317612410,m1v,101790854
ec012ec.13,ec012ec.228,330148992,m1v,98284109
ec012ec.13,ec012ec.229,364172408,m1v,103475603
ec012ec.13,ec012ec.239,133615880,m1v,42550803
ec012ec.13,ec012ec.240,181762378,m1v,57020493
ec012ec.14,ec012ec.254,312017696,m1v,105196925
ec012ec.14,ec012ec.255,315300669,m1v,105680184
ec012ec.14,ec012ec.256,345258678,m1v,106246353
ec012ec.14,ec012ec.269,174042940,m1v,45282202
ec012ec.14,ec012ec.270,120562181,m1v,38434654
ec012ec.14,ec012ec.271,123907714,m1v,36482044
ec012ec.15,ec012ec.285,344774537,m1v,106900880
ec012ec.15,ec012ec.286,321407807,m1v,96008126
ec012ec.15,ec012ec.287,106954824,m1v,30137184
ec012ec.16,ec012ec.310,351133080,m1v,107264981
ec012ec.16,ec012ec.311,89064580,-,0
ec012ec.16,ec012ec.312,338633580,m1v,101328345
ec012ec.16,ec012ec.313,78712925,m1v,22820527
ec012ec.17,ec012ec.348,422397366,m1v,103308841
ec012ec.17,ec012ec.349,382079314,m1v,103869612
ec012ec.17,ec012ec.350,359398649,m1v,104065218
ec012ec.17,ec012ec.356,146127909,m1v,43347833
ec012ec.17,ec012ec.357,210759673,m1v,52998520
ec012ec.18,ec012ec.367,385591971,m1v,103760041
ec012ec.18,ec012ec.368,268758888,m1v,72035022
ec012ec.18,ec012ec.369,406387116,m1v,104768042
ec012ec.18,ec012ec.374,135008514,m1v,47798672
ec012ec.18,ec012ec.375,165519110,m1v,58768036
ec012ec.19,ec012ec.397,332681708,m1v,106507986
ec012ec.19,ec012ec.398,315818183,m1v,105864332
ec012ec.20,ec012ec.408,294441984,m1v,90360365
ec012ec.20,ec012ec.409,20406661,m1v,5765602
ec012ec.20,ec012ec.410,359686735,m1v,110810363
ec012ec.21,ec012ec.437,367037148,m1v,102607358
ec012ec.21,ec012ec.438,368469342,m1v,102812948
ec012ec.21,ec012ec.439,381860273,m1v,106370258
ec012ec.21,ec012ec.444,122250194,m1v,38149318
ec012ec.21,ec012ec.445,114760303,m1v,35662940
ec012ec.22,ec012ec.455,207013668,m1v,65932305
ec012ec.22,ec012ec.456,334717845,m1v,102189497
ec012ec.22,ec012ec.457,331614069,m1v,103857353
ec012ec.22,ec012ec.465,139234509,m1v,44561724
ec012ec.22,ec012ec.466,129941452,m1v,40520116
ec012ec.22,ec012ec.467,172972923,m1v,53111760
ec012ec.23,ec012ec.490,359188142,m1v,106236343
ec012ec.23,ec012ec.491,332692199,m1v,101790683
ec012ec.24,ec012ec.496,317243327,m1v,101897019
ec012ec.24,ec012ec.497,320029114,m1v,102370517
ec012ec.24,ec012ec.498,326316024,m1v,102828296
ec012ec.24,ec012ec.503,143355266,m1v,43168969
ec012ec.24,ec012ec.504,174774159,m1v,56132239
ec012ec.25,ec012ec.523,372814469,m1v,101916937
ec012ec.25,ec012ec.524,378410314,m1v,97859850
ec012ec.26,ec012ec.532,228657031,m1v,103710663
ec012ec.26,ec012ec.533,213709098,m1v,99722626
ec012ec.27,ec012ec.549,326808538,m1v,100411101
ec012ec.27,ec012ec.550,330783166,m1v,101272080
ec012ec.27,ec012ec.551,354843233,m1v,103448127
ec012ec.27,ec012ec.560,103544914,m1v,37829590
ec012ec.27,ec012ec.561,104972575,m1v,37408246
ec012ec.28,ec012ec.418,335796961,m1v,87134246
ec012ec.28,ec012ec.419,391190911,m1v,102513382
ec013.15,ec013.156,297219602,-,0
ec013.15,ec013.157,182005826,-,0
ec013.18,ec013.198,493779544,-,0
ec013.18,ec013.205,55571161,-,0
